Date,Hour,CO_GT,NOx_GT,Day,Month
2004-03-21,19.0,3.5,185.0,Sunday,March
2004-03-21,20.0,4.3,266.0,Sunday,March
2004-03-21,21.0,2.8,188.0,Sunday,March
2004-03-21,22.0,1.9,122.0,Sunday,March
2004-03-21,23.0,1.9,112.0,Sunday,March
2004-03-22,0.0,1.7,93.0,Monday,March
2004-03-22,1.0,1.5,74.0,Monday,March
2004-03-22,2.0,0.6,23.0,Monday,March
2004-03-22,5.0,0.3,15.0,Monday,March
2004-03-22,6.0,0.6,41.0,Monday,March
2004-03-22,7.0,1.2,86.0,Monday,March
2004-03-22,8.0,3.6,226.0,Monday,March
2004-03-22,9.0,3.7,214.0,Monday,March
2004-03-22,10.0,1.8,115.0,Monday,March
2004-03-22,11.0,1.6,124.0,Monday,March
2004-03-22,12.0,1.9,122.0,Monday,March
2004-03-22,13.0,2.0,107.0,Monday,March
2004-03-22,14.0,2.2,133.0,Monday,March
2004-03-22,15.0,2.1,130.0,Monday,March
2004-03-22,16.0,2.3,150.0,Monday,March
2004-03-22,17.0,2.6,138.0,Monday,March
2004-03-22,18.0,3.8,213.0,Monday,March
2004-03-22,19.0,4.4,232.0,Monday,March
2004-03-22,20.0,4.5,238.0,Monday,March
2004-03-22,21.0,3.3,180.0,Monday,March
2004-03-22,22.0,2.0,128.0,Monday,March
2004-03-22,23.0,1.1,65.0,Monday,March
2004-03-23,0.0,0.9,53.0,Tuesday,March
2004-03-23,1.0,0.8,47.0,Tuesday,March
2004-03-23,2.0,0.7,51.0,Tuesday,March
2004-03-23,5.0,0.3,13.0,Tuesday,March
2004-03-23,6.0,0.5,33.0,Tuesday,March
2004-03-23,7.0,1.1,103.0,Tuesday,March
2004-03-23,8.0,3.0,224.0,Tuesday,March
2004-03-23,9.0,3.8,244.0,Tuesday,March
2004-03-23,10.0,3.4,237.0,Tuesday,March
2004-03-23,11.0,3.0,220.0,Tuesday,March
2004-03-23,12.0,2.7,207.0,Tuesday,March
2004-03-23,13.0,3.5,208.0,Tuesday,March
2004-03-23,14.0,2.8,160.0,Tuesday,March
2004-03-23,15.0,1.9,131.0,Tuesday,March
2004-03-23,16.0,2.0,128.0,Tuesday,March
2004-03-23,17.0,3.0,176.0,Tuesday,March
2004-03-23,18.0,1.9,107.0,Tuesday,March
2004-03-23,19.0,2.7,131.0,Tuesday,March
2004-03-23,20.0,3.3,166.0,Tuesday,March
2004-03-23,21.0,1.7,89.0,Tuesday,March
2004-03-23,22.0,1.3,81.0,Tuesday,March
2004-03-23,23.0,1.3,78.0,Tuesday,March
2004-03-24,0.0,1.2,70.0,Wednesday,March
2004-03-24,1.0,1.1,76.0,Wednesday,March
2004-03-24,2.0,0.9,43.0,Wednesday,March
2004-03-24,5.0,0.6,34.0,Wednesday,March
2004-03-24,6.0,0.8,43.0,Wednesday,March
2004-03-24,7.0,1.2,79.0,Wednesday,March
2004-03-24,8.0,3.1,174.0,Wednesday,March
2004-03-24,9.0,4.4,235.0,Wednesday,March
2004-03-24,10.0,3.4,218.0,Wednesday,March
2004-03-24,11.0,1.7,136.0,Wednesday,March
2004-03-24,12.0,1.5,117.0,Wednesday,March
2004-03-24,13.0,1.7,119.0,Wednesday,March
2004-03-24,14.0,2.2,126.0,Wednesday,March
2004-03-24,16.0,2.7,197.0,Wednesday,March
2004-03-24,17.0,2.8,195.0,Wednesday,March
2004-03-24,18.0,2.7,156.0,Wednesday,March
2004-03-24,19.0,4.5,247.0,Wednesday,March
2004-03-24,20.0,3.5,190.0,Wednesday,March
2004-03-24,21.0,2.6,169.0,Wednesday,March
2004-03-24,22.0,1.7,118.0,Wednesday,March
2004-03-24,23.0,1.3,81.0,Wednesday,March
2004-03-25,0.0,1.3,80.0,Thursday,March
2004-03-25,1.0,1.0,42.0,Thursday,March
2004-03-25,2.0,0.7,38.0,Thursday,March
2004-03-25,4.0,0.5,18.0,Thursday,March
2004-03-25,5.0,0.5,12.0,Thursday,March
2004-03-25,6.0,0.6,43.0,Thursday,March
2004-03-25,7.0,1.1,84.0,Thursday,March
2004-03-25,8.0,2.7,184.0,Thursday,March
2004-03-25,9.0,3.5,202.0,Thursday,March
2004-03-25,10.0,2.3,133.0,Thursday,March
2004-03-25,11.0,1.6,130.0,Thursday,March
2004-03-25,12.0,1.3,106.0,Thursday,March
2004-03-25,13.0,2.0,132.0,Thursday,March
2004-03-25,14.0,1.9,106.0,Thursday,March
2004-03-25,15.0,1.9,125.0,Thursday,March
2004-03-25,16.0,2.2,138.0,Thursday,March
2004-03-25,17.0,2.0,120.0,Thursday,March
2004-03-25,18.0,2.9,158.0,Thursday,March
2004-03-25,19.0,5.2,253.0,Thursday,March
2004-03-25,20.0,4.6,231.0,Thursday,March
2004-03-25,21.0,2.5,150.0,Thursday,March
2004-03-25,22.0,1.5,99.0,Thursday,March
2004-03-25,23.0,1.2,75.0,Thursday,March
2004-03-26,0.0,1.7,93.0,Friday,March
2004-03-26,1.0,1.4,79.0,Friday,March
2004-03-26,2.0,1.2,67.0,Friday,March
2004-03-26,4.0,0.7,45.0,Friday,March
2004-03-26,5.0,0.8,72.0,Friday,March
2004-03-26,6.0,0.9,103.0,Friday,March
2004-03-26,7.0,1.6,132.0,Friday,March
2004-03-26,8.0,3.4,239.0,Friday,March
2004-03-26,9.0,3.8,275.0,Friday,March
2004-03-26,10.0,3.1,232.0,Friday,March
2004-03-26,11.0,2.7,180.0,Friday,March
2004-03-26,12.0,2.0,112.0,Friday,March
2004-03-26,13.0,2.3,116.0,Friday,March
2004-03-26,14.0,1.9,103.0,Friday,March
2004-03-26,15.0,1.3,89.0,Friday,March
2004-03-26,16.0,1.9,112.0,Friday,March
2004-03-26,17.0,2.3,127.0,Friday,March
2004-03-26,18.0,2.4,125.0,Friday,March
2004-03-26,19.0,2.7,120.0,Friday,March
2004-03-26,20.0,2.6,120.0,Friday,March
2004-03-26,21.0,1.5,99.0,Friday,March
2004-03-26,22.0,1.2,79.0,Friday,March
2004-03-26,23.0,1.1,66.0,Friday,March
2004-03-27,0.0,1.5,94.0,Saturday,March
2004-03-27,1.0,1.0,70.0,Saturday,March
2004-03-27,2.0,1.2,75.0,Saturday,March
2004-03-27,5.0,0.8,32.0,Saturday,March
2004-03-27,6.0,0.9,54.0,Saturday,March
2004-03-27,7.0,1.1,68.0,Saturday,March
2004-03-27,8.0,1.5,98.0,Saturday,March
2004-03-27,9.0,1.8,128.0,Saturday,March
2004-03-27,10.0,2.1,129.0,Saturday,March
2004-03-27,11.0,2.1,130.0,Saturday,March
2004-03-27,12.0,1.9,111.0,Saturday,March
2004-03-27,13.0,2.1,106.0,Saturday,March
2004-03-27,14.0,2.5,137.0,Saturday,March
2004-03-27,15.0,1.9,113.0,Saturday,March
2004-03-27,16.0,2.2,122.0,Saturday,March
2004-03-27,17.0,2.3,137.0,Saturday,March
2004-03-27,18.0,2.7,165.0,Saturday,March
2004-03-27,19.0,3.0,196.0,Saturday,March
2004-03-27,20.0,2.8,174.0,Saturday,March
2004-03-27,21.0,2.2,140.0,Saturday,March
2004-03-27,22.0,1.6,102.0,Saturday,March
2004-03-27,23.0,2.1,130.0,Saturday,March
2004-03-28,0.0,2.3,121.0,Sunday,March
2004-03-28,1.0,2.3,111.0,Sunday,March
2004-03-28,2.0,1.7,87.0,Sunday,March
2004-03-28,4.0,1.3,77.0,Sunday,March
2004-03-28,5.0,0.8,39.0,Sunday,March
2004-03-28,6.0,1.1,77.0,Sunday,March
2004-03-28,7.0,1.4,91.0,Sunday,March
2004-03-28,8.0,1.3,105.0,Sunday,March
2004-03-28,9.0,1.9,133.0,Sunday,March
2004-03-28,10.0,2.3,128.0,Sunday,March
2004-03-28,11.0,2.3,126.0,Sunday,March
2004-03-28,12.0,1.8,92.0,Sunday,March
2004-03-28,13.0,1.4,66.0,Sunday,March
2004-03-28,14.0,1.0,50.0,Sunday,March
2004-03-28,15.0,1.4,70.0,Sunday,March
2004-03-28,16.0,1.3,73.0,Sunday,March
2004-03-28,17.0,1.3,77.0,Sunday,March
2004-03-28,18.0,1.4,86.0,Sunday,March
2004-03-28,19.0,1.9,93.0,Sunday,March
2004-03-28,20.0,1.8,105.0,Sunday,March
2004-03-28,21.0,1.1,67.0,Sunday,March
2004-03-28,22.0,1.1,63.0,Sunday,March
2004-03-28,23.0,1.1,63.0,Sunday,March
2004-03-29,0.0,0.9,46.0,Monday,March
2004-03-29,1.0,0.6,21.0,Monday,March
2004-03-29,2.0,0.5,22.0,Monday,March
2004-03-29,4.0,0.6,39.0,Monday,March
2004-03-29,5.0,0.7,55.0,Monday,March
2004-03-29,6.0,0.9,76.0,Monday,March
2004-03-29,7.0,2.9,181.0,Monday,March
2004-03-29,8.0,4.1,259.0,Monday,March
2004-03-29,9.0,1.5,118.0,Monday,March
2004-03-29,10.0,1.5,119.0,Monday,March
2004-03-29,11.0,1.5,123.0,Monday,March
2004-03-29,12.0,1.4,92.0,Monday,March
2004-03-29,13.0,1.6,91.0,Monday,March
2004-03-29,14.0,1.5,103.0,Monday,March
2004-03-29,15.0,1.4,102.0,Monday,March
2004-03-29,16.0,1.5,94.0,Monday,March
2004-03-29,17.0,1.9,98.0,Monday,March
2004-03-29,18.0,2.5,126.0,Monday,March
2004-03-29,19.0,2.1,108.0,Monday,March
2004-03-29,20.0,1.6,95.0,Monday,March
2004-03-29,21.0,1.2,78.0,Monday,March
2004-03-29,22.0,1.1,61.0,Monday,March
2004-03-29,23.0,1.0,55.0,Monday,March
2004-03-30,0.0,1.0,57.0,Tuesday,March
2004-03-30,1.0,0.7,41.0,Tuesday,March
2004-03-30,2.0,0.7,46.0,Tuesday,March
2004-03-30,5.0,0.7,52.0,Tuesday,March
2004-03-30,6.0,1.1,111.0,Tuesday,March
2004-03-30,7.0,2.6,191.0,Tuesday,March
2004-03-30,8.0,4.0,244.0,Tuesday,March
2004-03-30,9.0,4.2,283.0,Tuesday,March
2004-03-30,10.0,4.7,320.0,Tuesday,March
2004-03-30,11.0,3.9,249.0,Tuesday,March
2004-03-30,12.0,3.7,219.0,Tuesday,March
2004-03-30,13.0,3.4,200.0,Tuesday,March
2004-03-30,14.0,2.2,138.0,Tuesday,March
2004-03-30,15.0,1.9,118.0,Tuesday,March
2004-03-30,16.0,1.6,99.0,Tuesday,March
2004-03-30,17.0,2.1,112.0,Tuesday,March
2004-03-30,18.0,2.2,117.0,Tuesday,March
2004-03-30,19.0,2.7,129.0,Tuesday,March
2004-03-30,20.0,2.4,132.0,Tuesday,March
2004-03-30,21.0,1.3,73.0,Tuesday,March
2004-03-30,22.0,1.2,68.0,Tuesday,March
2004-03-30,23.0,1.5,80.0,Tuesday,March
2004-03-31,0.0,1.3,68.0,Wednesday,March
2004-03-31,1.0,1.0,44.0,Wednesday,March
2004-03-31,2.0,0.9,47.0,Wednesday,March
2004-03-31,4.0,0.5,15.0,Wednesday,March
2004-03-31,5.0,0.6,44.0,Wednesday,March
2004-03-31,6.0,1.0,85.0,Wednesday,March
2004-03-31,7.0,3.1,207.0,Wednesday,March
2004-03-31,8.0,4.1,230.0,Wednesday,March
2004-03-31,9.0,2.2,181.0,Wednesday,March
2004-03-31,10.0,1.7,144.0,Wednesday,March
2004-03-31,11.0,1.9,140.0,Wednesday,March
2004-03-31,12.0,2.9,204.0,Wednesday,March
2004-03-31,13.0,2.2,149.0,Wednesday,March
2004-03-31,14.0,2.6,171.0,Wednesday,March
2004-03-31,15.0,3.1,195.0,Wednesday,March
2004-03-31,16.0,2.3,152.0,Wednesday,March
2004-03-31,17.0,2.4,128.0,Wednesday,March
2004-03-31,18.0,2.8,121.0,Wednesday,March
2004-03-31,19.0,2.7,142.0,Wednesday,March
2004-03-31,20.0,2.3,131.0,Wednesday,March
2004-03-31,21.0,1.5,81.0,Wednesday,March
2004-03-31,22.0,1.4,60.0,Wednesday,March
2004-03-31,23.0,1.2,57.0,Wednesday,March
2004-04-01,0.0,1.6,96.0,Thursday,April
2004-04-01,1.0,1.2,85.0,Thursday,April
2004-04-01,2.0,1.1,50.0,Thursday,April
2004-04-01,4.0,0.7,57.0,Thursday,April
2004-04-01,5.0,0.9,64.0,Thursday,April
2004-04-01,6.0,1.7,153.0,Thursday,April
2004-04-01,7.0,4.2,342.0,Thursday,April
2004-04-01,8.0,6.2,378.0,Thursday,April
2004-04-01,9.0,4.6,304.0,Thursday,April
2004-04-01,10.0,2.8,192.0,Thursday,April
2004-04-01,11.0,1.6,130.0,Thursday,April
2004-04-01,12.0,1.7,106.0,Thursday,April
2004-04-01,13.0,1.7,102.0,Thursday,April
2004-04-01,14.0,1.7,99.0,Thursday,April
2004-04-01,15.0,1.9,108.0,Thursday,April
2004-04-01,16.0,2.3,131.0,Thursday,April
2004-04-01,17.0,3.3,163.0,Thursday,April
2004-04-01,18.0,4.2,211.0,Thursday,April
2004-04-01,19.0,5.5,267.0,Thursday,April
2004-04-01,20.0,4.9,269.0,Thursday,April
2004-04-01,21.0,2.5,154.0,Thursday,April
2004-04-01,22.0,2.0,127.0,Thursday,April
2004-04-01,23.0,2.0,122.0,Thursday,April
2004-04-02,0.0,2.0,126.0,Friday,April
2004-04-02,1.0,1.3,84.0,Friday,April
2004-04-02,2.0,1.0,58.0,Friday,April
2004-04-02,5.0,0.7,56.0,Friday,April
2004-04-02,6.0,1.1,91.0,Friday,April
2004-04-02,7.0,2.6,159.0,Friday,April
2004-04-02,8.0,3.9,190.0,Friday,April
2004-04-02,9.0,5.0,249.0,Friday,April
2004-04-02,10.0,3.3,196.0,Friday,April
2004-04-02,11.0,2.9,180.0,Friday,April
2004-04-02,12.0,3.1,167.0,Friday,April
2004-04-02,13.0,3.0,159.0,Friday,April
2004-04-02,14.0,2.7,152.0,Friday,April
2004-04-02,15.0,2.7,149.0,Friday,April
2004-04-02,16.0,2.6,143.0,Friday,April
2004-04-02,17.0,3.7,185.0,Friday,April
2004-04-02,18.0,4.5,223.0,Friday,April
2004-04-02,19.0,4.7,215.0,Friday,April
2004-04-02,20.0,5.5,271.0,Friday,April
2004-04-02,21.0,3.0,180.0,Friday,April
2004-04-02,22.0,1.9,115.0,Friday,April
2004-04-02,23.0,2.3,149.0,Friday,April
2004-04-03,0.0,1.6,98.0,Saturday,April
2004-04-03,1.0,1.3,73.0,Saturday,April
2004-04-03,2.0,1.2,69.0,Saturday,April
2004-04-03,4.0,0.8,60.0,Saturday,April
2004-04-03,5.0,0.8,56.0,Saturday,April
2004-04-03,6.0,0.9,73.0,Saturday,April
2004-04-03,7.0,2.0,159.0,Saturday,April
2004-04-03,8.0,3.0,203.0,Saturday,April
2004-04-03,9.0,3.1,211.0,Saturday,April
2004-04-05,10.0,3.1,236.0,Monday,April
2004-04-05,11.0,3.0,228.0,Monday,April
2004-04-05,12.0,3.2,206.0,Monday,April
2004-04-05,13.0,3.1,188.0,Monday,April
2004-04-05,14.0,2.5,158.0,Monday,April
2004-04-05,15.0,2.1,124.0,Monday,April
2004-04-05,16.0,2.0,98.0,Monday,April
2004-04-05,17.0,3.2,160.0,Monday,April
2004-04-05,18.0,4.1,194.0,Monday,April
2004-04-05,19.0,3.9,174.0,Monday,April
2004-04-05,20.0,3.1,157.0,Monday,April
2004-04-05,21.0,2.0,109.0,Monday,April
